round,aggregation,f1_macro,accuracy,balanced_acc,g_mean
0,fedavg,0.4889238615731809,0.6491885143570537,0.6223729728371055,0.6070979488894656
1,fedavg,0.5832679766690346,0.7203495630461922,0.6889770002405503,0.670984011037385
2,fedavg,0.6331207848805066,0.7453183520599251,0.7743684105983518,0.7537745925196336
3,fedavg,0.6413458180966245,0.7521847690387016,0.7685252688202917,0.749461933743973
4,fedavg,0.6350822762213093,0.7428214731585518,0.7385192891498168,0.6952183336998846
5,fedavg,0.7276265464097457,0.8320848938826467,0.7808313699714015,0.7504835952408782
6,fedavg,0.7313774970929081,0.8295880149812734,0.7831840946570988,0.7517059452152448
7,fedavg,0.7564580937748422,0.8401997503121099,0.7955908778072366,0.7779288581618721
8,fedavg,0.7847566713045621,0.8514357053682896,0.8338707592206972,0.8246857144412579
9,fedavg,0.774914315699444,0.8583021223470662,0.8109071040215076,0.790521731815406
10,fedavg,0.787847801230358,0.8545568039950062,0.8341427363528819,0.8194406304418015
11,fedavg,0.8233444705445958,0.8807740324594258,0.8313141241271473,0.8224498137873042
12,fedavg,0.7905840015904246,0.8576779026217228,0.8254192405109054,0.8101470486705705
13,fedavg,0.8178279441683952,0.8838951310861424,0.8265584704198299,0.8125640668631969
14,fedavg,0.8692156008269514,0.9044943820224719,0.865623096067565,0.861735198493787
15,fedavg,0.7687340032635742,0.8570536828963795,0.8242742952038045,0.7969366847817689
16,fedavg,0.8190623695503323,0.8863920099875156,0.830879747600138,0.8148336902620694
17,fedavg,0.7942585720648777,0.8870162297128589,0.7975655462555553,0.7767575268474961
18,fedavg,0.8495309880525408,0.9032459425717853,0.8627995561692566,0.8538072990698106
19,fedavg,0.8292475442017511,0.8963795255930087,0.8549559225685639,0.8443790985073671
0,weighted_fedavg,0.430392431549794,0.6317103620474407,0.5019011072431688,0.4560286817429375
1,weighted_fedavg,0.440058038629784,0.6554307116104869,0.5299204980683386,0.495989511373148
2,weighted_fedavg,0.4945627385812951,0.7328339575530587,0.5153264504052698,0.45919473990016085
3,weighted_fedavg,0.5114596430013642,0.7790262172284644,0.487267558568587,0.4219868718329041
4,weighted_fedavg,0.6039793276203086,0.8121098626716604,0.5428370818213372,0.48980534875052995
5,weighted_fedavg,0.5316332738702079,0.787765293383271,0.48682158391709507,0.43026183770325255
6,weighted_fedavg,0.5822229186998594,0.7827715355805244,0.5547096977810078,0.5107717385804257
7,weighted_fedavg,0.5725046974336635,0.7915106117353309,0.5702982660059841,0.5064959530477577
8,weighted_fedavg,0.6382353859481442,0.83458177278402,0.6014204872803183,0.5264442003065251
9,weighted_fedavg,0.5972535344479014,0.8071161048689138,0.5763574957729553,0.4913619257874995
10,weighted_fedavg,0.5643812062027688,0.8089887640449438,0.5186401395075857,0.4104209886472833
11,weighted_fedavg,0.6468754928054301,0.8401997503121099,0.6149171935309056,0.5518559625428466
12,weighted_fedavg,0.6385131019601721,0.8308364544319601,0.594644824066593,0.5612917742531892
13,weighted_fedavg,0.5827116272017185,0.8233458177278402,0.5339325296455055,0.43896645757217767
14,weighted_fedavg,0.6010488438965623,0.8245942571785269,0.567456477464024,0.4852710903930424
15,weighted_fedavg,0.5859213711412579,0.8239700374531835,0.5607129378604018,0.4765083180992544
16,weighted_fedavg,0.6720995388135409,0.848314606741573,0.6272499080367547,0.5628253367721289
17,weighted_fedavg,0.6033769180607111,0.8233458177278402,0.5204899884687537,0.4631275841722529
18,weighted_fedavg,0.6525372670597893,0.8401997503121099,0.6012786663706405,0.5585865887903774
19,weighted_fedavg,0.6059858696061715,0.8295880149812734,0.5297493304583819,0.4700083900714037
0,fedprox,0.5009336796232471,0.6123595505617978,0.668165324032241,0.651699397015159
1,fedprox,0.6167435025172313,0.7290886392009988,0.7209370629451909,0.7031132283513722
2,fedprox,0.6932878431183146,0.7846441947565543,0.7718139428095014,0.7557192679464013
3,fedprox,0.6953243563445629,0.7677902621722846,0.7766157933808927,0.7592617481424158
4,fedprox,0.6877457811398399,0.7746566791510612,0.7646968791282909,0.7407383173899028
5,fedprox,0.6972462406299244,0.7902621722846442,0.775957904213637,0.7579668849670869
6,fedprox,0.7119695381255279,0.7971285892634207,0.7742196800688992,0.7604617476277152
7,fedprox,0.7589647160910991,0.8439450686641697,0.8038083528929745,0.7876380783540949
8,fedprox,0.7431153750441865,0.848314606741573,0.8148479661537988,0.8035705538121981
9,fedprox,0.7672021437486818,0.8533083645443196,0.8180991486907339,0.802223856565325
10,fedprox,0.7263437879620707,0.8295880149812734,0.7811898457953845,0.7636143124557183
11,fedprox,0.755489287123803,0.8426966292134831,0.8023868718309918,0.7842469353155725
12,fedprox,0.777997751410042,0.8583021223470662,0.8174495540599495,0.8081296380841371
13,fedprox,0.744248207903631,0.8358302122347067,0.7925378550452434,0.7757351622423126
14,fedprox,0.6687537692553321,0.8027465667915106,0.732159387761523,0.6927940224117437
15,fedprox,0.8186379865302342,0.8913857677902621,0.8169111059967378,0.8010639808915201
16,fedprox,0.7680808020224051,0.8607990012484394,0.8233273561278155,0.8078131780924664
17,fedprox,0.8351093906153774,0.8932584269662921,0.83203309830781,0.8156071243176495
18,fedprox,0.8022555070638572,0.8782771535580525,0.8468193698725627,0.8305000031099383
19,fedprox,0.8184927078655041,0.8870162297128589,0.8541142628872496,0.8410908084762866
0,ditto,0.4782685937765698,0.5711610486891385,0.6279026428342017,0.618087972369468
1,ditto,0.56859959629325,0.7059925093632958,0.7064215751755788,0.6878201040209464
2,ditto,0.6314643672697887,0.7340823970037453,0.7295636800754426,0.6993118690012456
3,ditto,0.6672388350229046,0.7721598002496879,0.7656335176467867,0.7506949151411986
4,ditto,0.6775463640451654,0.7765293383270911,0.7931055687983312,0.777061359423468
5,ditto,0.70786517046455,0.7940074906367042,0.8156651836918536,0.7982516693676501
6,ditto,0.7285419972252614,0.8064918851435705,0.8216390245874319,0.8041192013755611
7,ditto,0.7627950955778532,0.8445692883895131,0.8312394275232391,0.8219631285152061
8,ditto,0.7527049308261385,0.8289637952559301,0.7978141513336692,0.7839481805872134
9,ditto,0.7966365215416105,0.8451935081148564,0.8232452636942894,0.8138002263924716
10,ditto,0.8126380299205247,0.8576779026217228,0.8568769560120254,0.8476045961916403
11,ditto,0.7862148154993127,0.8370786516853933,0.8486632228845137,0.8445179176272521
12,ditto,0.7740092963579072,0.8639200998751561,0.8468531842339037,0.8298278032424399
13,ditto,0.7840463917678039,0.8595505617977528,0.8217772284821342,0.8082641472572019
14,ditto,0.8103919723292167,0.8789013732833958,0.8343696170798686,0.8235018045288922
15,ditto,0.8297535958040564,0.8976279650436954,0.8392805599159054,0.8261178234311508
16,ditto,0.771395725028225,0.8664169787765293,0.8330026555030198,0.8165197637883237
17,ditto,0.8203946409956556,0.8870162297128589,0.8746742978595894,0.8671571466710533
18,ditto,0.8149724438134863,0.8901373283395755,0.8542147109217472,0.8460720586120949
19,ditto,0.8204464053116943,0.897003745318352,0.8310173993857254,0.8153076919489783
