round,aggregation,f1_macro,accuracy,balanced_acc,g_mean
0,fedavg,0.5242893228772473,0.6409567320612739,0.5826155692012478,0.5637458725435919
1,fedavg,0.5915702164635062,0.7000806234883096,0.6195610324470882,0.5905995018039962
2,fedavg,0.6465537832421737,0.7234614350980919,0.6578091625053184,0.6332328268437166
3,fedavg,0.6498982213696485,0.7417360924482665,0.6554129000978537,0.6118714872507379
4,fedavg,0.7330669107389206,0.7815103466809997,0.7307734964427606,0.7090364704709416
5,fedavg,0.7036157054164478,0.7712980381617844,0.6984674236041934,0.6709005991679521
6,fedavg,0.7120710108450294,0.7962913195377587,0.730448451114157,0.6955171082638439
7,fedavg,0.7398301653364214,0.8091910776672937,0.7453346732255124,0.722499609615719
8,fedavg,0.7526970141389815,0.8293469497446923,0.7505148791250817,0.7204839229554517
9,fedavg,0.739568778787187,0.8258532652512766,0.7501917533563465,0.7197073334400396
10,fedavg,0.7858553431936155,0.8347218489653319,0.785234664190648,0.7638641454060408
11,fedavg,0.7874620880065666,0.848427841977963,0.7828716643454797,0.7611508750976936
12,fedavg,0.7962694257137063,0.8497715667831228,0.8005609364058849,0.7838199297629889
13,fedavg,0.8004382263976374,0.8645525396398818,0.801344578830041,0.7801022680811049
14,fedavg,0.8144846801599933,0.8691212039774254,0.8108463467462625,0.7899528143979848
15,fedavg,0.8270513084346713,0.8766460628863209,0.8086884390554225,0.7900787107723753
16,fedavg,0.8083627393842032,0.8564901908089223,0.8015649229386848,0.7745497746825438
17,fedavg,0.8259651806776551,0.8777210427304488,0.8223448641548174,0.8016917900812498
18,fedavg,0.8169482939181106,0.8758398280032249,0.8157021271240026,0.7914700346637905
19,fedavg,0.8220850969540738,0.8785272776135448,0.8229542381643717,0.8034927242392547
0,weighted_fedavg,0.399810146172837,0.6089760816984682,0.467381904454013,0.3326288111298418
1,weighted_fedavg,0.4841238005171127,0.7046492878258532,0.505004731858787,0.3571468888600544
2,weighted_fedavg,0.4921856716531652,0.6936307444235421,0.5236867586488155,0.4057481955801824
3,weighted_fedavg,0.523368171873314,0.6960494490728298,0.5577106709495767,0.4289026333875254
4,weighted_fedavg,0.5009694641371867,0.7258801397473797,0.4884048178623192,0.3427885450704162
5,weighted_fedavg,0.550098078361188,0.7272238645525396,0.5418811055970023,0.4148825612178533
6,weighted_fedavg,0.5416048596196468,0.7422735823703306,0.5526928073612527,0.4175572639339912
7,weighted_fedavg,0.5791764119779068,0.7530233808116098,0.5716153183070867,0.4600252825485579
8,weighted_fedavg,0.5599765429415695,0.7549045955388336,0.5652695371351429,0.433485544706827
9,weighted_fedavg,0.5744222716605167,0.7578607901101855,0.5743935007147629,0.4606020361490576
